time,state,players
263.646,Chase,Player(Clone):0.000:True;Girl(Clone):0.000:True
263.765,Chase,Player(Clone):0.000:True;Girl(Clone):0.000:True
263.861,Chase,Player(Clone):0.000:True;Girl(Clone):0.000:True
263.981,Chase,Player(Clone):0.000:True;Girl(Clone):0.000:True
264.082,Chase,Player(Clone):0.000:True;Girl(Clone):0.000:True
264.186,Chase,Player(Clone):0.000:True;Girl(Clone):0.000:True
264.286,Chase,Player(Clone):0.000:True;Girl(Clone):0.000:True
264.397,Chase,Player(Clone):0.000:True;Girl(Clone):0.000:True
264.494,Chase,Player(Clone):0.000:True;Girl(Clone):0.000:True
264.603,Chase,Player(Clone):0.000:True;Girl(Clone):0.000:True
264.722,Chase,Player(Clone):0.000:True;Girl(Clone):0.000:True
264.824,Chase,Player(Clone):0.000:True;Girl(Clone):0.000:True
264.935,Chase,Player(Clone):0.000:True;Girl(Clone):0.000:True
265.019,Chase,Player(Clone):0.000:True;Girl(Clone):0.000:True
265.139,Chase,Player(Clone):0.000:True;Girl(Clone):0.000:True
265.237,Chase,Player(Clone):0.000:True;Girl(Clone):0.000:True
265.357,Chase,Player(Clone):0.000:True;Girl(Clone):0.000:True
265.461,Chase,Player(Clone):0.000:True;Girl(Clone):0.000:True
265.551,Chase,Player(Clone):0.000:True;Girl(Clone):0.000:True
265.672,Chase,Player(Clone):0.000:True;Girl(Clone):0.000:True
265.761,Attack,Player(Clone):0.000:True;Girl(Clone):0.000:True
265.884,Attack,Player(Clone):0.000:True;Girl(Clone):0.000:True
265.986,Attack,Player(Clone):0.000:True;Girl(Clone):0.000:True
266.073,Attack,Player(Clone):0.000:True;Girl(Clone):0.000:True
266.193,Attack,Player(Clone):0.000:True;Girl(Clone):0.000:True
266.294,Attack,Player(Clone):0.000:True;Girl(Clone):0.000:True
266.416,Attack,Player(Clone):0.000:True;Girl(Clone):0.010:True
266.522,Attack,Player(Clone):0.000:True;Girl(Clone):0.019:True
266.641,Attack,Player(Clone):0.000:True;Girl(Clone):0.005:True
266.755,Attack,Player(Clone):0.000:True;Girl(Clone):0.001:True
266.845,Attack,Player(Clone):0.000:True;Girl(Clone):0.001:True
266.964,Attack,Player(Clone):0.000:True;Girl(Clone):0.000:True
267.068,Attack,Player(Clone):0.000:True;Girl(Clone):0.000:True
267.153,Attack,Player(Clone):0.000:True;Girl(Clone):0.000:True
267.276,Recovery,Player(Clone):0.000:True;Girl(Clone):0.000:True
267.376,Recovery,Player(Clone):0.000:True;Girl(Clone):0.000:True
267.479,Recovery,Player(Clone):0.000:True;Girl(Clone):0.000:True
267.594,Recovery,Player(Clone):0.000:True;Girl(Clone):0.000:True
267.710,Recovery,Player(Clone):0.000:True;Girl(Clone):0.000:True
267.816,WindUp,Player(Clone):0.000:True;Girl(Clone):0.000:True
267.912,WindUp,Player(Clone):0.000:True;Girl(Clone):0.000:True
268.035,WindUp,Player(Clone):0.000:True;Girl(Clone):0.000:True
268.119,WindUp,Player(Clone):0.000:True;Girl(Clone):0.000:True
268.241,WindUp,Player(Clone):0.000:True;Girl(Clone):0.000:True
268.347,WindUp,Player(Clone):0.000:True;Girl(Clone):0.000:True
268.465,WindUp,Player(Clone):0.000:True;Girl(Clone):0.000:True
268.556,WindUp,Player(Clone):0.000:True;Girl(Clone):0.000:True
268.662,WindUp,Player(Clone):0.000:True;Girl(Clone):0.000:True
268.781,WindUp,Player(Clone):0.000:True;Girl(Clone):0.000:True
268.882,WindUp,Player(Clone):0.000:True;Girl(Clone):0.000:True
268.971,WindUp,Player(Clone):0.000:True;Girl(Clone):0.000:True
269.083,WindUp,Player(Clone):0.000:True;Girl(Clone):0.000:True
269.198,WindUp,Player(Clone):0.000:True;Girl(Clone):0.000:True
269.288,WindUp,Player(Clone):0.000:True;Girl(Clone):0.000:True
269.404,WindUp,Player(Clone):0.000:True;Girl(Clone):0.000:False
269.506,WindUp,Player(Clone):0.000:True;Girl(Clone):0.000:False
269.594,WindUp,Player(Clone):0.000:True;Girl(Clone):0.000:False
269.714,WindUp,Player(Clone):0.000:True;Girl(Clone):0.000:False
269.818,WindUp,Player(Clone):0.000:True;Girl(Clone):0.000:False
269.920,WindUp,Player(Clone):0.000:True;Girl(Clone):0.000:False
270.036,WindUp,Player(Clone):0.000:True;Girl(Clone):0.000:False
270.140,WindUp,Player(Clone):0.000:True;Girl(Clone):0.000:False
270.235,WindUp,Player(Clone):0.000:True;Girl(Clone):0.000:False
270.356,WindUp,Player(Clone):0.000:True;Girl(Clone):0.000:False
270.460,WindUp,Player(Clone):0.000:True;Girl(Clone):0.000:False
270.546,WindUp,Player(Clone):0.000:True;Girl(Clone):0.000:False
270.662,WindUp,Player(Clone):0.000:True;Girl(Clone):0.000:False
270.768,Chase,Player(Clone):0.000:True;Girl(Clone):0.000:False
270.862,Chase,Player(Clone):0.000:True;Girl(Clone):0.000:False
270.980,Chase,Player(Clone):0.000:True;Girl(Clone):0.000:False
271.100,Chase,Player(Clone):0.000:True;Girl(Clone):0.000:False
271.202,Chase,Player(Clone):0.000:True;Girl(Clone):0.000:False
271.304,Chase,Player(Clone):0.000:True;Girl(Clone):0.000:False
271.421,Chase,Player(Clone):0.000:True;Girl(Clone):0.000:False
271.527,Chase,Player(Clone):0.000:True;Girl(Clone):0.000:False
271.616,Chase,Player(Clone):0.000:True;Girl(Clone):0.000:False
271.731,Chase,Player(Clone):0.000:True;Girl(Clone):0.000:False
271.835,Chase,Player(Clone):0.000:True;Girl(Clone):0.000:False
